time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,,,,,,,,
59:18.7,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.655076495,0.646153846,0.771653543,-0.119463816,-0.106263195,-0.055194197,0.093979308,0.051837566,0.390013158,0,0,0,0,0,0,0,0,0,6.30,-0.193845804,-0.141652465,-0.199748195,0.356140193,0,0,0,0
59:03.0,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.668984701,0.654427646,0.795275591,-0.125247031,-0.0921886,-0.049439225,0.081965031,0.007145607,0.078778861,0,0,0,0,0,0,0,0,0,6.40,,,,,,,,
59:02.9,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.668984701,0.678304239,0.713910761,-0.138239946,-0.10591133,-0.060360288,0.118834317,0.008724062,0.112287355,0,0,0,0,0,0,0,0,0,6.50,,,,,,,,
59:02.7,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.671766342,0.65795207,0.792650919,-0.008826827,-0.014309172,0.053534624,0.078434448,0.007737528,0.081681369,0,0,0,0,0,0,0,0,0,6.60,,,,,,,,
59:02.6,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.671766342,0.653276956,0.811023622,0.128594455,0.081046212,0.174268583,0.217404371,0.025187587,0.245139155,0,0,0,0,0,0,0,0,0,6.70,,,,,,,,
59:02.5,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.660639777,0.651884701,0.771653543,-0.14216322,-0.136054422,-0.07731738,0.137211125,0.011174924,0.128578884,0,0,0,0,0,0,0,0,0,6.80,,,,,,,,
54:27.9,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.660639777,0.647948164,0.787401575,-0.125564573,-0.111775745,-0.059062073,0.099224283,0.044492718,0.331853291,0,0,0,0,0,0,0,0,0,6.90,-0.163611063,-0.116442381,-0.170287057,0.292283755,0,0,0,0
54:13.8,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.685674548,0.727272727,0.709359606,0.137010435,0.066395083,0.155029765,0.229174435,0.023777422,0.260293176,0,0,0,0,0,0,0,0,0,7.00,,,,,,,,
54:08.3,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.685674548,0.722772277,0.719211823,0.22316681,0.1553745,0.241057915,0.318290063,0.036971841,0.383151024,0,0,0,0,0,0,0,0,0,7.10,,,,,,,,
54:08.2,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.656467316,0.720221607,0.640394089,0.040626787,-0.005145798,0.06090455,0.110440252,0.00934113,0.117028603,0,0,0,0,0,0,0,0,0,7.20,,,,,,,,
49:31.2,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.687065369,0.706150342,0.763546798,0.123674242,0.069754145,0.144750782,0.198849559,0.05811657,0.39363065,0,0,0,0,0,0,0,0,0,7.30,-0.150580315,-0.165588885,-0.195164168,0.356578141,0,0,0,0
